,by,descendants,id,kids,score,time,title,type,url,text
10,mmphosis,20.0,41470571,"[41470671, 41470664, 41471658, 41471592, 41471588, 41470670, 41471537]",107,1725666912,"QtCS2024: Compile once, Run everywhere",story,https://wiki.qt.io/QtCS2024_Compile_once._Run_everywhere,
11,ohjeez,149.0,41436009,"[41467579, 41470434, 41468013, 41469431, 41466899, 41467737, 41472172, 41466731, 41467669, 41468372, 41469415, 41470448, 41471119, 41471422, 41469337, 41468060, 41466943, 41466985, 41466894, 41467587, 41467121]",330,1725377891,Mapping 20k ships that sank during WW II,story,https://storymaps.arcgis.com/stories/41d4bd6029044afbb1b9ad805a4731d8,
12,nffaria,13.0,41444855,"[41468730, 41468729, 41468896, 41470167, 41470945, 41471702, 41471054, 41469752, 41470648, 41468872, 41468533, 41468457]",248,1725452900,Show HN: Using SQL's Turing completeness to build Tetris,story,https://github.com/nuno-faria/tetris-sql,
13,stankot,16.0,41431556,"[41471965, 41471107, 41471942, 41471440, 41472573, 41470948, 41471375]",81,1725341122,"Pulsar, micro creative coding playground",story,https://muffinman.io/pulsar/,
14,lcolucci,239.0,41467704,"[41471052, 41469544, 41468005, 41473049, 41469531, 41473069, 41471118, 41470824, 41470713, 41469557, 41470055, 41468520, 41472839, 41468801, 41470829, 41472116, 41468370, 41468144, 41470414, 41468515, 41472828, 41468319, 41468254, 41472362, 41468612, 41469301, 41469101, 41472405, 41471397, 41472864, 41472669, 41468506, 41469195, 41472823, 41468578, 41469907, 41468548, 41470214, 41470103, 41470790, 41467870, 41468101, 41470615, 41468257, 41469423, 41471464, 41468458, 41470041, 41470270, 41468049, 41470529, 41468629, 41468190, 41471886, 41469151, 41471045, 41468124, 41467807, 41470876, 41469224, 41468494, 41470279, 41468248, 41469064, 41468620, 41468305, 41468942, 41468051, 41468377, 41469546, 41470929, 41470844, 41469022]",344,1725641224,Show HN: Infinity – Realistic AI characters that can speak,story,,"Hey HN, this is Lina, Andrew, and Sidney from Infinity AI (<a href=""https:&#x2F;&#x2F;infinity.ai&#x2F;"">https:&#x2F;&#x2F;infinity.ai&#x2F;</a>). We&#x27;ve trained our own foundation video model focused on people. As far as we know, this is the first time someone has trained a video diffusion transformer that’s driven by audio input. This is cool because it allows for expressive, realistic-looking characters that actually speak. Here’s a blog with a bunch of examples: <a href=""https:&#x2F;&#x2F;toinfinityai.github.io&#x2F;v2-launch-page&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;toinfinityai.github.io&#x2F;v2-launch-page&#x2F;</a><p>If you want to try it out, you can either (1) go to <a href=""https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2"">https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2</a>, or (2) post a comment in this thread describing a character and we’ll generate a video for you and reply with a link. For example: 
“Mona Lisa saying ‘what the heck are you smiling at?’”: <a href=""https:&#x2F;&#x2F;bit.ly&#x2F;3z8l1TM"" rel=""nofollow"">https:&#x2F;&#x2F;bit.ly&#x2F;3z8l1TM</a> 
“A 3D pixar-style gnome with a pointy red hat reciting the Declaration of Independence”: <a href=""https:&#x2F;&#x2F;bit.ly&#x2F;3XzpTdS"" rel=""nofollow"">https:&#x2F;&#x2F;bit.ly&#x2F;3XzpTdS</a> 
“Elon Musk singing Fly Me To The Moon by Sinatra”: <a href=""https:&#x2F;&#x2F;bit.ly&#x2F;47jyC7C"" rel=""nofollow"">https:&#x2F;&#x2F;bit.ly&#x2F;47jyC7C</a><p>Our tool at Infinity allows creators to type out a script with what they want their characters to say (and eventually, what they want their characters to do) and get a video out. We’ve trained for about 11 GPU years (~$500k) so far and our model recently started getting good results, so we wanted to share it here. We are still actively training.<p>We had trouble creating videos of good characters with existing AI tools. Generative AI video models (like Runway and Luma) don’t allow characters to speak. And talking avatar companies (like HeyGen and Synthesia) just do lip syncing on top of the previously recorded videos. This means you often get facial expressions and gestures that don’t make sense with the audio, resulting in the “uncanny” look you can’t quite put your finger on. See blog.<p>When we started Infinity, our V1 model took the lip syncing approach. In addition to mismatched gestures, this method had many limitations, including a finite library of actors (we had to fine-tune a model for each one with existing video footage) and an inability to animate imaginary characters.<p>To address these limitations in V2, we decided to train an end-to-end video diffusion transformer model that takes in a single image, audio, and other conditioning signals and outputs video. We believe this end-to-end approach is the best way to capture the full complexity and nuances of human motion and emotion. One drawback of our approach is that the model is slow despite using rectified flow (2-4x speed up) and a 3D VAE embedding layer (2-5x speed up).<p>Here are a few things the model does surprisingly well on: (1) it can handle multiple languages, (2) it has learned some physics (e.g. it generates earrings that dangle properly and infers a matching pair on the other ear), (3) it can animate diverse types of images (paintings, sculptures, etc) despite not being trained on those, and (4) it can handle singing. See blog.<p>Here are some failure modes of the model: (1) it cannot handle animals (only humanoid images), (2) it often inserts hands into the frame (very annoying and distracting), (3) it’s not robust on cartoons, and (4) it can distort people’s identities (noticeable on well-known figures). See blog.<p>Try the model here: <a href=""https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2"">https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2</a><p>We’d love to hear what you think!"
15,throwaway71271,13.0,41438343,"[41471542, 41471732, 41471255]",54,1725392072,"Zen, CUDA, and Tensor Cores, Part I: The Silicon",story,https://www.computerenhance.com/p/zen-cuda-and-tensor-cores-part-i,
16,airstrike,14.0,41438089,"[41471852, 41472770, 41472874, 41471990, 41472293, 41471708, 41472282, 41472849]",22,1725390575,Creating an empty iterator of a certain type in Rust (2018),story,https://www.freedomlayer.org/offset/option-iterator/,
17,siegers,17.0,41446248,"[41470774, 41468479, 41471148, 41471371, 41471472, 41470072, 41471137, 41469382, 41469533, 41470738]",134,1725460067,LÖVR – A simple Lua framework for rapidly building VR experiences,story,https://github.com/bjornbytes/lovr,
18,Anon84,329.0,41465081,"[41468219, 41465648, 41473050, 41468961, 41466021, 41465564, 41469426, 41465697, 41465847, 41470226, 41465734, 41469468, 41465974, 41465881, 41465923, 41465653, 41468035, 41470403, 41470328, 41467924, 41465751, 41469634, 41470465, 41470723, 41465969, 41468680, 41469873, 41469556, 41467817, 41465894, 41467932, 41469616, 41467789, 41465857, 41465902]",197,1725621717,Effects of Gen AI on High Skilled Work: Experiments with Software Developers,story,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4945566,
19,bryjnar,65.0,41440275,"[41468756, 41470148, 41469087, 41472784, 41470003, 41469317, 41469676, 41470783, 41469135, 41470423, 41469596, 41440715]",221,1725405443,"LSP: The good, the bad, and the ugly",story,https://www.michaelpj.com/blog/2024/09/03/lsp-good-bad-ugly.html,
20,daphnemichala,23.0,41434062,"[41470131, 41470127, 41470286, 41470219, 41471540, 41471259, 41469857, 41470025, 41470937]",55,1725364796,Will open science change chemistry?,story,https://www.chemistryworld.com/careers/will-open-science-change-chemistry/4020023.article,
21,zdw,6.0,41436734,"[41469164, 41469840, 41469607, 41470519]",85,1725382226,"Oya, I've heard of mega-ROMs",story,https://www.leadedsolder.com/2024/09/03/msx-megarom-oyanami.html,
22,edublancas,32.0,41456635,"[41468691, 41469801, 41472337, 41468769, 41469133, 41472155, 41469350, 41472494, 41468536, 41469553, 41468652, 41470433, 41468725, 41470084, 41469214, 41469005, 41470755]",97,1725544282,Minifying HTML for GPT-4o: Remove all the HTML tags,story,https://blancas.io/blog/html-minify-for-llm/,
23,terryf,182.0,41463809,"[41464601, 41464147, 41468531, 41466026, 41464678, 41468759, 41467539, 41464349, 41464330, 41465878, 41464358, 41464901, 41465436, 41465425, 41470548, 41464469, 41465097, 41465017, 41464610, 41465167, 41465866, 41468361, 41465264, 41464176, 41464491, 41469369, 41464012, 41464352, 41465553, 41464677, 41465145, 41464289, 41463820, 41469318, 41464016, 41466038, 41464212, 41464112, 41468826, 41464173, 41464166]",603,1725607626,Did Sandia use a thermonuclear secondary in a product logo?,story,https://blog.nuclearsecrecy.com/2024/09/04/did-sandia-use-a-thermonuclear-secondary-in-a-product-logo/,
24,samclemens,11.0,41438077,"[41473031, 41472213, 41471041, 41471155, 41471064]",32,1725390508,Moondance: Experience the marvel that is night-blooming tobacco,story,https://theamericanscholar.org/moondance/,
25,rob,29.0,41465900,"[41469925, 41469295, 41472637, 41468406, 41471214, 41471182, 41472363, 41468966, 41469973, 41470221, 41468380, 41469922, 41470452, 41471114, 41471092]",108,1725628535,"Inertia.js – Build React, Vue, or Svelte apps with server-side routing",story,https://inertiajs.com/,
26,speckx,2.0,41439442,"[41471669, 41472277]",12,1725398994,The heiress at Harvard who helped revolutionize murder investigations,story,https://www.bostonglobe.com/2024/08/14/special-projects/the-woman-who-revolutionized-forensic-science/,
27,indigodaddy,26.0,41470491,"[41471162, 41471274, 41471974, 41472801, 41471670, 41471133, 41471567, 41471237, 41471051, 41472197]",43,1725665839,Boost your development environment with Ubuntu Multipass,story,https://letsdebug.it/post/21-ubuntu-multipass/,
28,mihaitodor,30.0,41445803,"[41470601, 41470155, 41468681, 41468651, 41470141, 41470540, 41470153, 41470056]",85,1725457506,Goja: A Golang JavaScript Runtime,story,https://jtarchie.com/posts/2024-08-30-exploring-goja-a-golang-javascript-runtime,
29,FabioFleitas,,41469704,,1,1725656541,Tesorio Is Hiring a Senior GenAI Engineer and Django Engineer (100% Remote),job,https://www.tesorio.com/careers#job-openings,
30,leandot,309.0,41463734,"[41464593, 41470554, 41468335, 41469713, 41472785, 41469329, 41464360, 41470179, 41468336, 41472811, 41470236, 41464320, 41471647, 41464512, 41464313, 41469787, 41464332, 41469257, 41469311, 41469843, 41464375, 41468659, 41464312, 41468702, 41464507, 41470742, 41464588, 41470346, 41472276, 41469361, 41469567, 41464279, 41471633, 41464574, 41469477, 41471192, 41471620, 41471455, 41469229, 41464533, 41471082, 41464291, 41471117, 41472752, 41470358, 41470050, 41471190, 41470344, 41471635, 41464305, 41469098, 41468519, 41470272, 41471903, 41470785, 41468774, 41469219, 41464316, 41464418, 41470520, 41464329, 41468595, 41469621, 41467103, 41464816, 41464344, 41464310, 41468488, 41466979, 41470263, 41464557, 41464232, 41465019, 41469189, 41464331, 41468388, 41464946, 41468210]",564,1725606998,2M users but no money in the bank,story,https://exercism.org/blog/september-2024-restructure,
31,ingve,14.0,41472027,"[41472527, 41472532, 41472991, 41472813, 41472655, 41472224, 41472808, 41472639]",46,1725691817,Operating system threads are always going to be (more) expensive,story,https://utcc.utoronto.ca/~cks/space/blog/tech/OSThreadsAlwaysExpensive,
32,meiraleal,2.0,41461373,"[41469134, 41470821]",38,1725579441,Beehive lab notebook: Local-first access control,story,https://www.inkandswitch.com/beehive/notebook/,
33,felipefar,33.0,41459373,"[41471247, 41468628, 41469880, 41470563]",54,1725561841,Understanding the Layout Process in Qt Widgets,story,https://felipefarinon.com/articles/qt-widgets-layout/,
34,keiferski,0.0,41472164,,7,1725694164,In Praise of Reference Books,story,https://www.discoursemagazine.com/p/in-praise-of-reference-books,
35,elawler24,11.0,41448347,"[41469444, 41471618, 41471596]",40,1725471295,Decommissioning my first commercial product,story,https://binarysolo.blog/decommissioning-my-first-commercial-product/,
36,jakemanger,0.0,41470704,,6,1725669105,Show HN: Track whether cryptocurrencies are being used and for what,story,https://app.chainspy.net,"Hey HN, I&#x27;m Jake, and I created Chainspy, a website that aggregates and visualizes on-chain metrics across multiple blockchains like Bitcoin, Ethereum, and others. It&#x27;s designed to give you insights beyond just price data.
Why Chainspy?<p>- On-Chain Metrics: Track blockchain activity (e.g., transactions, active users) across multiple networks, all in one place.<p>- Advanced Charting: Visualize blockchain data with integrated TradingView charts. Ideal for comparing blockchain performance over time.<p>- Wealth Distribution: See how wealth is distributed across wallets and spot centralization trends.<p>- API Access (Coming Soon): Need blockchain data for your projects? We&#x27;re working on an API—let me know if you&#x27;re interested!<p>A Sneak Peek:<p>Wealth Distribution: How is wealth spread across wallets? <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KaPC.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KaPC.png</a> <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KdOv.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KdOv.png</a><p>Active Transactions: Which chains are seeing the most activity? <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KAvg.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KAvg.png</a><p>Active Users (addresses): How many people are using the network? <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KHiI.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KHiI.png</a><p>I’m just starting out and would love feedback on features and data you&#x27;d like to see. If you have a favorite blockchain or metric you&#x27;d want tracked, let me know—I’ll try to add it. Let’s make blockchain data easier for everyone to access."
37,warrenm,35.0,41435444,"[41465052, 41466938, 41468573, 41468949, 41467861, 41470905, 41466045, 41469867, 41465039, 41468481]",208,1725374581,Your Name in Landsat,story,https://landsat.gsfc.nasa.gov/apps/YourNameInLandsat-main/index.html,
38,gnabgib,31.0,41467522,"[41470066, 41470617, 41471042, 41469536, 41470006, 41469347, 41470443]",28,1725639798,Cough or sneeze? How the brain knows what to unleash,story,https://www.nature.com/articles/d41586-024-02858-9,
39,_Microft,123.0,41462574,"[41466586, 41464562, 41463298, 41465355, 41464322, 41463922, 41463402, 41463279, 41467061, 41468382, 41465250, 41463841, 41470171, 41470612, 41463967, 41466749, 41467050, 41464359, 41466169, 41463212, 41468464, 41465557, 41469210, 41465146, 41463150, 41468960, 41463406, 41463277]",354,1725592580,What happens when you touch a pickle to an AM radio tower,story,https://www.jeffgeerling.com/blog/2024/what-happens-when-you-touch-pickle-am-radio-tower,
40,doctorwhat,143.0,41466963,"[41467040, 41467046, 41469178, 41467184, 41470478, 41467035, 41468683, 41467333, 41467288, 41469156, 41470383, 41467135, 41467417, 41470453, 41467244]",230,1725635822,Nginx has moved to GitHub,story,https://mailman.nginx.org/pipermail/nginx-announce/2024/ITL3AOQSAJANFJXMM3VOVOIGOUADWFFK.html,
41,bookofjoe,10.0,41470099,"[41470848, 41471084]",30,1725660827,Manipulating large language models to increase product visibility,story,https://arxiv.org/abs/2404.07981,
42,luke8086,29.0,41445931,"[41466538, 41465927, 41466219, 41464301, 41463442, 41465486, 41467679, 41462684]",91,1725458286,Show HN: Retronews – TUI for HN and Lobsters emulating classical Usenet readers,story,https://github.com/luke8086/retronews,
43,belter,2.0,41443414,"[41467557, 41470264]",29,1725440280,Fibonacci Partial Sums Tricks,story,https://arxiv.org/abs/2409.01296,
44,h99,25.0,41471157,"[41473009, 41471665, 41472348, 41471492, 41471546, 41472051, 41472295, 41472283, 41472393, 41471536, 41472256, 41472652, 41472034]",85,1725676942,Browsing Hacker News in the Terminal,story,https://hnterm.ggerganov.com/,
45,Tomte,8.0,41466910,"[41472260, 41472314, 41472243, 41472184, 41470352, 41470902]",20,1725635420,Asciidoctor: A fast text processor and publishing toolchain,story,https://asciidoctor.org/,
46,marttt,17.0,41434106,"[41472279, 41473073, 41473081, 41472291, 41472614, 41472433, 41472153, 41472325, 41472672]",37,1725365121,How to Make Windows XP Safe (and Fast) (2020),story,http://www.wzsn.net/xp/index.html,
47,matt_d,4.0,41450948,"[41455009, 41452582, 41451402, 41451476]",47,1725484693,Snapshottable Stores,story,https://dl.acm.org/doi/10.1145/3674637,
48,signa11,108.0,41471707,"[41472140, 41472056, 41471936, 41473055, 41472410, 41472302, 41471946, 41471900, 41472476, 41471973, 41472207, 41472269, 41472186, 41472237, 41472434, 41471880, 41472247, 41472466, 41472233, 41472677, 41472231, 41472472, 41471902, 41471893, 41472353, 41472575, 41471737, 41472552, 41472141, 41472480, 41472370, 41472344, 41472739, 41472384, 41472020, 41472137, 41472296, 41472371, 41472326, 41472431, 41472158, 41471892, 41471883, 41471959, 41472688, 41471907, 41472475, 41472109, 41472665]",131,1725687809,Asynchronous IO: the next billion-dollar mistake?,story,https://yorickpeterse.com/articles/asynchronous-io-the-next-billion-dollar-mistake/,
49,ReadCarlBarks,13.0,41469541,"[41471018, 41470110, 41471507, 41469834]",36,1725655185,KDE Again Operated at a Loss During 2023,story,https://www.phoronix.com/news/KDE-2023-Report,
50,dansalias,84.0,41453264,"[41468768, 41468815, 41469526, 41469235, 41468859, 41469424, 41469308, 41468776, 41468941, 41469146, 41469371, 41468899, 41469315, 41468727, 41469356, 41468630, 41468865, 41469205, 41469051, 41469014, 41468617, 41469529, 41468978, 41469717, 41470469, 41469657, 41469633, 41453265, 41469131]",103,1725507821,Better Dotfiles,story,https://iamdan.me/better-dotfiles,
51,punnerud,5.0,41464585,"[41467254, 41466403, 41468721]",36,1725616713,RGCosm – Reverse Geocode for OpenStreetMap,story,https://github.com/punnerud/rgcosm,
52,thunderbong,2.0,41465119,"[41471381, 41472707]",20,1725622020,Kalmia: A documentation CMS written in Go. Open-source alternative to Gitbook,story,https://github.com/DifuseHQ/Kalmia,
53,todsacerdoti,97.0,41464334,"[41466797, 41465246, 41465322, 41465068, 41464849, 41464817, 41470668, 41467727, 41464589, 41465351, 41464964, 41468332, 41468422, 41465932, 41464637, 41464880]",163,1725613430,Intent to unship: HTTP/2 Push,story,https://groups.google.com/a/mozilla.org/g/dev-platform/c/vU9hJg343U8/m/4cZsHz7TAQAJ,
54,tomgp,75.0,41464347,"[41464862, 41466691, 41465896, 41466873, 41464600, 41466711, 41465176, 41468075, 41466858, 41466409, 41468304, 41464664, 41466211]",158,1725613550,Study: Playing D&D helps autistic players in social interactions,story,https://arstechnica.com/science/2024/09/study-playing-dungeons-dragons-helps-autistic-players-in-social-interactions/,
55,nolta,14.0,41469714,"[41471354, 41470311, 41470641, 41470249, 41472204, 41471984, 41470815, 41470716, 41471101, 41470504]",34,1725656671,How Local Governments Got Hooked on One Company's Janky Software,story,https://www.bloomberg.com/news/features/2024-09-05/tyler-tech-s-odyssey-software-took-over-local-government-and-courts,
56,fidotron,54.0,41461850,"[41466721, 41463564, 41468648, 41462365, 41464929, 41463131, 41462693, 41466166, 41461870, 41462140, 41467959, 41462316, 41462137, 41462353, 41462047, 41468446, 41466430, 41462388, 41463369]",171,1725584406,LwIP – Lightweight IP Stack,story,https://www.nongnu.org/lwip/2_1_x/index.html,
57,vasco,37.0,41469370,"[41470762, 41471357, 41471768, 41471875, 41471559, 41472927, 41470205, 41471914, 41471454, 41471514, 41471245, 41470789]",32,1725653585,YouTube to restrict teenagers' exposure to videos about weight and fitness,story,https://www.theguardian.com/technology/article/2024/sep/05/youtube-to-restrict-teenagers-exposure-to-videos-about-weight-and-fitness,
58,PeterHuber,6.0,41471217,"[41471637, 41472423]",7,1725678300,Ask HN: How Can I Quickly Launch My Web Product and Attract Target Users?,story,,"Hi everyone,<p>I’ve just finished developing my web software product, but as a solo developer without an existing fanbase, I’m starting from scratch. I’m looking for practical advice and guidance on how to effectively launch my product and attract my target audience.<p>Specifically, I’d love insights on:<p>(1) Marketing Strategies: What are the most effective ways to get my product in front of potential users?
(2) Social Media &amp; Community Engagement: Which platforms should I focus on for maximum reach?
(3) Gathering User Feedback: What are the best methods to quickly gather user feedback for improvements?<p>I appreciate any tips, resources, or personal experiences you can share. Thank you!"
59,luu,28.0,41432101,"[41458205, 41456679, 41455094, 41457823, 41463466, 41456449, 41467327, 41460862, 41469986, 41455727, 41458295, 41458337, 41458573, 41455923, 41454917, 41456066]",159,1725347096,The Elements of APIs (2021),story,https://johnholdun.com/apis/,
60,whiteros_e,18.0,41458512,"[41469955, 41469831, 41470487, 41468684, 41468668, 41469921, 41469100]",65,1725555784,Debugging a memory leak in a Clojure service,story,https://charanvasu.com/posts/debugging-a-memory-leak-in-a-clojure-service/,
61,raytopia,8.0,41471451,"[41472321, 41472750, 41472753, 41472095, 41472726, 41472320, 41472776, 41472171]",31,1725683646,Hyphanet is a private peer-to-peer platform for publishing and communication,story,https://www.hyphanet.org/index.html,
62,tilyupo,83.0,41455719,"[41461438, 41457415, 41457379, 41456971, 41457323, 41456524, 41456633, 41464439, 41466759, 41456899, 41464572, 41456547, 41466925, 41461620, 41467293, 41457340, 41464178, 41456622, 41456735, 41456761, 41457215, 41457057, 41457320, 41459144, 41456607, 41456718, 41456573, 41456618, 41456572, 41456586, 41456808, 41456468]",113,1725537348,Show HN: Node.js ORM to query SQL database through an array-like API,story,https://github.com/tilyupo/qustar,"Hello everyone! I&#x27;m exited to share a NodeJS package I was working on for the past two months.<p>The package is designed to simplify querying SQL databases through an array-like API. Qustar supports PostgreSQL, SQLite, MySQL, and MariaDB, and offers TypeScript support for a robust development experience.<p>It&#x27;s in early stage of development. I would like to hear your thoughts about it."
63,lermontov,3.0,41449609,"[41468567, 41468875]",10,1725477819,The Race for Lambeth Palace,story,https://www.newstatesman.com/politics/religion/2024/09/race-lambeth-palace-archbishop-of-canterbury-justin-welby,
64,rbanffy,132.0,41450824,"[41453048, 41456041, 41453011, 41454189, 41456558, 41456805, 41454249, 41454996, 41455714, 41456995, 41454987, 41454264, 41455050, 41456638, 41455130, 41457276, 41457121, 41458193, 41457470, 41458558, 41456661, 41461539, 41453669, 41456593, 41460514, 41469721, 41455830, 41458975]",240,1725484025,Lesser known parts of Python standard library,story,https://www.trickster.dev/post/lesser-known-parts-of-python-standard-library/,
65,ingve,51.0,41431679,"[41471267, 41471246, 41471952, 41471368, 41472098, 41471275, 41440095, 41472082, 41471335, 41472349, 41471401, 41471329, 41472089, 41472689, 41471534]",104,1725342460,gRPC: The Ugly Parts,story,https://kmcd.dev/posts/grpc-the-ugly-parts/,
66,rushingcreek,146.0,41458083,"[41459349, 41460342, 41460927, 41461959, 41459402, 41462706, 41459729, 41464171, 41459841, 41459719, 41459891, 41465126, 41461152, 41460151, 41469640, 41460004, 41468242, 41464202, 41459145, 41460883, 41467055, 41462652, 41464153, 41459799, 41462904, 41460403, 41460085, 41459661, 41460495, 41463336, 41459362, 41459428, 41460947, 41459673, 41464278, 41460293, 41459272, 41470763, 41462555, 41463141, 41465394, 41461240, 41459231]",346,1725553329,"Phind-405B and faster, high quality AI answers for everyone",story,https://www.phind.com/blog/introducing-phind-405b-and-better-faster-searches,
67,shivam-dev,6.0,41471799,"[41472566, 41472447, 41472366, 41472358, 41472294, 41472682]",25,1725689112,Check for malicious IPs using DNS,story,https://ipshield.dev/,
68,HieronymusBosch,2.0,41469221,"[41471784, 41471680]",38,1725652511,Changes to `impl Trait` in Rust 2024,story,https://blog.rust-lang.org/2024/09/05/impl-trait-capture-rules.html,
69,luu,16.0,41453713,"[41468832, 41455901, 41467901, 41453849, 41467744]",25,1725513221,Beaker Browser and the Dat Protocol,story,https://bernsteinbear.com/dat-paper/,
70,klelatti,27.0,41432197,"[41459664, 41461984, 41462509, 41468143, 41465292, 41459906, 41458661, 41459111]",98,1725347966,"The Memory Wall: Past, Present, and Future of DRAM",story,https://www.semianalysis.com/p/the-memory-wall,
71,jandeboevrie,2.0,41471502,"[41472470, 41471868, 41472695]",30,1725684557,MNT Pocket Reform – Unboxing and First Impressions,story,http://ratfactor.com/mnt-pocket-reform/first,
72,ibobev,20.0,41432625,"[41458790, 41450973, 41455833, 41457166, 41458327, 41457776, 41458968, 41458554]",85,1725352232,Software Rasterizing Hair,story,https://www.sctheblog.com/blog/hair-software-rasterize/,
73,Pulcinella,188.0,41448022,"[41448957, 41448732, 41455700, 41451072, 41448485, 41451837, 41448617, 41449013, 41448459, 41458564, 41470235, 41448506, 41448870, 41471585, 41449012, 41451618, 41453022, 41455381, 41454422, 41452564, 41448801, 41449627, 41451608, 41448587, 41448639, 41451236, 41451977, 41449081, 41448826, 41448593, 41448497, 41449095, 41451133, 41449824, 41449926, 41464240, 41448303, 41450796, 41452614, 41452244, 41454640, 41454407, 41448574, 41469997, 41454900, 41448733, 41449793, 41448562, 41452154, 41448064]",575,1725469334,Dynamicland 2024,story,https://dynamicland.org/,
74,blackhawkC17,6.0,41469832,"[41472492, 41470959]",26,1725657826,OnlyFans Owner Leo Radvinsky Pockets $472M Dividend,story,https://www.businessinsider.com/onlyfans-owner-made-472-million-profits-boomed-2024-9,
