,by,descendants,id,kids,score,time,title,type,url,text
16,lcolucci,208.0,41467704,"[41471052, 41469544, 41468005, 41469531, 41471118, 41470713, 41470824, 41470055, 41470829, 41468520, 41468801, 41468370, 41471397, 41469557, 41468144, 41470414, 41468515, 41468319, 41468612, 41469101, 41470876, 41468254, 41469195, 41471464, 41470790, 41468506, 41468578, 41470214, 41469907, 41470103, 41469301, 41468548, 41470615, 41468101, 41467870, 41468257, 41469423, 41470041, 41468458, 41470270, 41470529, 41468049, 41471045, 41468629, 41469151, 41468190, 41468124, 41467807, 41469224, 41470279, 41468494, 41468248, 41469064, 41468620, 41468305, 41468942, 41468051, 41468377, 41469546, 41470929, 41470844, 41469022]",299,1725641224,Show HN: Infinity – Realistic AI characters that can speak,story,,"Hey HN, this is Lina, Andrew, and Sidney from Infinity AI (<a href=""https:&#x2F;&#x2F;infinity.ai&#x2F;"">https:&#x2F;&#x2F;infinity.ai&#x2F;</a>). We&#x27;ve trained our own foundation video model focused on people. As far as we know, this is the first time someone has trained a video diffusion transformer that’s driven by audio input. This is cool because it allows for expressive, realistic-looking characters that actually speak. Here’s a blog with a bunch of examples: <a href=""https:&#x2F;&#x2F;toinfinityai.github.io&#x2F;v2-launch-page&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;toinfinityai.github.io&#x2F;v2-launch-page&#x2F;</a><p>If you want to try it out, you can either (1) go to <a href=""https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2"">https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2</a>, or (2) post a comment in this thread describing a character and we’ll generate a video for you and reply with a link. For example: 
“Mona Lisa saying ‘what the heck are you smiling at?’”: <a href=""https:&#x2F;&#x2F;bit.ly&#x2F;3z8l1TM"" rel=""nofollow"">https:&#x2F;&#x2F;bit.ly&#x2F;3z8l1TM</a> 
“A 3D pixar-style gnome with a pointy red hat reciting the Declaration of Independence”: <a href=""https:&#x2F;&#x2F;bit.ly&#x2F;3XzpTdS"" rel=""nofollow"">https:&#x2F;&#x2F;bit.ly&#x2F;3XzpTdS</a> 
“Elon Musk singing Fly Me To The Moon by Sinatra”: <a href=""https:&#x2F;&#x2F;bit.ly&#x2F;47jyC7C"" rel=""nofollow"">https:&#x2F;&#x2F;bit.ly&#x2F;47jyC7C</a><p>Our tool at Infinity allows creators to type out a script with what they want their characters to say (and eventually, what they want their characters to do) and get a video out. We’ve trained for about 11 GPU years (~$500k) so far and our model recently started getting good results, so we wanted to share it here. We are still actively training.<p>We had trouble creating videos of good characters with existing AI tools. Generative AI video models (like Runway and Luma) don’t allow characters to speak. And talking avatar companies (like HeyGen and Synthesia) just do lip syncing on top of the previously recorded videos. This means you often get facial expressions and gestures that don’t make sense with the audio, resulting in the “uncanny” look you can’t quite put your finger on. See blog.<p>When we started Infinity, our V1 model took the lip syncing approach. In addition to mismatched gestures, this method had many limitations, including a finite library of actors (we had to fine-tune a model for each one with existing video footage) and an inability to animate imaginary characters.<p>To address these limitations in V2, we decided to train an end-to-end video diffusion transformer model that takes in a single image, audio, and other conditioning signals and outputs video. We believe this end-to-end approach is the best way to capture the full complexity and nuances of human motion and emotion. One drawback of our approach is that the model is slow despite using rectified flow (2-4x speed up) and a 3D VAE embedding layer (2-5x speed up).<p>Here are a few things the model does surprisingly well on: (1) it can handle multiple languages, (2) it has learned some physics (e.g. it generates earrings that dangle properly and infers a matching pair on the other ear), (3) it can animate diverse types of images (paintings, sculptures, etc) despite not being trained on those, and (4) it can handle singing. See blog.<p>Here are some failure modes of the model: (1) it cannot handle animals (only humanoid images), (2) it often inserts hands into the frame (very annoying and distracting), (3) it’s not robust on cartoons, and (4) it can distort people’s identities (noticeable on well-known figures). See blog.<p>Try the model here: <a href=""https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2"">https:&#x2F;&#x2F;studio.infinity.ai&#x2F;try-inf2</a><p>We’d love to hear what you think!"
17,raytopia,0.0,41471451,,4,1725683646,Hyphanet is a private peer-to-peer platform for publishing and communication,story,https://www.hyphanet.org/index.html,
18,leandot,295.0,41463734,"[41464593, 41470554, 41468335, 41469713, 41469329, 41464360, 41470179, 41470236, 41468336, 41464320, 41471647, 41471633, 41469787, 41464512, 41464313, 41469257, 41469843, 41469311, 41471620, 41464332, 41468659, 41470742, 41464375, 41468702, 41471455, 41464312, 41464507, 41470346, 41471192, 41469361, 41471635, 41469567, 41464588, 41469477, 41464279, 41471082, 41464574, 41471117, 41469229, 41471190, 41464533, 41470358, 41470050, 41470344, 41469098, 41470272, 41464305, 41464291, 41468519, 41470785, 41469219, 41468774, 41464316, 41464418, 41464329, 41469621, 41468595, 41470520, 41467103, 41464816, 41464344, 41464310, 41468488, 41466979, 41470263, 41464557, 41464232, 41465019, 41469189, 41464331, 41468388, 41464946, 41468210]",528,1725606998,2M users but no money in the bank,story,https://exercism.org/blog/september-2024-restructure,
19,throwaway71271,7.0,41438343,"[41471732, 41471542, 41471255]",29,1725392072,"Zen, CUDA, and Tensor Cores, Part I: The Silicon",story,https://www.computerenhance.com/p/zen-cuda-and-tensor-cores-part-i,
20,siegers,15.0,41446248,"[41470774, 41468479, 41471371, 41471472, 41471148, 41470072, 41471137, 41470738, 41469533, 41469382]",123,1725460067,LÖVR – A simple Lua framework for rapidly building VR experiences,story,https://github.com/bjornbytes/lovr,
21,FabioFleitas,,41469704,,1,1725656541,Tesorio Is Hiring a Senior GenAI Engineer and Django Engineer (100% Remote),job,https://www.tesorio.com/careers#job-openings,
22,FairDune,0.0,41438262,,5,1725391628,Natural Piezoelectric Effect May Build Gold Deposits,story,https://arstechnica.com/science/2024/09/natural-piezoelectric-effect-may-build-gold-deposits/,
23,daphnemichala,21.0,41434062,"[41470127, 41470131, 41470286, 41471540, 41470219, 41471259, 41469857, 41470025, 41470937]",52,1725364796,Will open science change chemistry?,story,https://www.chemistryworld.com/careers/will-open-science-change-chemistry/4020023.article,
24,bryjnar,45.0,41440275,"[41468756, 41470148, 41469087, 41470003, 41469317, 41469676, 41470783, 41469135, 41470423, 41469596, 41440715]",184,1725405443,"LSP: The good, the bad, and the ugly",story,https://www.michaelpj.com/blog/2024/09/03/lsp-good-bad-ugly.html,
25,indigodaddy,13.0,41470491,"[41471670, 41471567, 41471133, 41471274, 41471162, 41471237, 41471051]",25,1725665839,Boost your development environment with Ubuntu Multipass,story,https://letsdebug.it/post/21-ubuntu-multipass/,
26,Anon84,280.0,41465081,"[41468219, 41465648, 41468961, 41466021, 41465564, 41470226, 41469426, 41465697, 41469468, 41465734, 41465847, 41465974, 41465881, 41465923, 41465653, 41468035, 41470403, 41470328, 41467924, 41465751, 41470465, 41469634, 41470723, 41468680, 41465969, 41469873, 41469556, 41467817, 41465894, 41469616, 41467932, 41467789, 41465857, 41465902]",174,1725621717,Effects of Gen AI on High Skilled Work: Experiments with Software Developers,story,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4945566,
27,zdw,6.0,41436734,"[41469164, 41469840, 41469607, 41470519]",76,1725382226,"Oya, I've heard of mega-ROMs",story,https://www.leadedsolder.com/2024/09/03/msx-megarom-oyanami.html,
28,edublancas,24.0,41456635,"[41468691, 41469801, 41469133, 41468769, 41469350, 41468536, 41470433, 41469553, 41468652, 41470084, 41468725, 41469214, 41469005, 41470755]",86,1725544282,Minifying HTML for GPT-4o: Remove all the HTML tags,story,https://blancas.io/blog/html-minify-for-llm/,
29,terryf,181.0,41463809,"[41464601, 41464147, 41466026, 41468531, 41468759, 41464678, 41467539, 41464349, 41464330, 41465878, 41464358, 41464901, 41464469, 41465425, 41470548, 41465436, 41465097, 41465017, 41465167, 41465866, 41468361, 41465264, 41464176, 41464610, 41469369, 41464491, 41464012, 41464352, 41465553, 41464677, 41464289, 41465145, 41463820, 41469318, 41464016, 41466038, 41464212, 41464112, 41464173, 41468826, 41464166]",594,1725607626,Did Sandia use a thermonuclear secondary in a product logo?,story,https://blog.nuclearsecrecy.com/2024/09/04/did-sandia-use-a-thermonuclear-secondary-in-a-product-logo/,
30,rob,23.0,41465900,"[41469925, 41469295, 41468406, 41471214, 41471182, 41468966, 41469973, 41470221, 41468380, 41469922, 41470452, 41471114, 41471092]",96,1725628535,"Inertia.js – Build React, Vue, or Svelte apps with server-side routing",story,https://inertiajs.com/,
31,felipefar,29.0,41459373,"[41471247, 41468628, 41469880, 41470563]",48,1725561841,Understanding the Layout Process in Qt Widgets,story,https://felipefarinon.com/articles/qt-widgets-layout/,
32,samclemens,7.0,41438077,"[41471041, 41471155, 41471064]",25,1725390508,Moondance: Experience the marvel that is night-blooming tobacco,story,https://theamericanscholar.org/moondance/,
33,mihaitodor,28.0,41445803,"[41470601, 41470155, 41468681, 41470141, 41468651, 41470540, 41470153, 41470056]",76,1725457506,Goja: A Golang JavaScript Runtime,story,https://jtarchie.com/posts/2024-08-30-exploring-goja-a-golang-javascript-runtime,
34,speckx,1.0,41439442,[41471669],4,1725398994,The heiress at Harvard who helped revolutionize murder investigations,story,https://www.bostonglobe.com/2024/08/14/special-projects/the-woman-who-revolutionized-forensic-science/,
35,meiraleal,2.0,41461373,"[41470821, 41469134]",34,1725579441,Beehive lab notebook: Local-first access control,story,https://www.inkandswitch.com/beehive/notebook/,
36,elawler24,9.0,41448347,"[41471618, 41471596, 41469444]",39,1725471295,Decommissioning my first commercial product,story,https://binarysolo.blog/decommissioning-my-first-commercial-product/,
37,bookofjoe,10.0,41470099,"[41470848, 41471084]",29,1725660827,Manipulating large language models to increase product visibility,story,https://arxiv.org/abs/2404.07981,
38,MilnerRoute,12.0,41471287,"[41471427, 41471565, 41471505, 41471529]",14,1725680220,Treasury recovers $1.3B in unpaid taxes from high-wealth tax dodgers,story,https://apnews.com/article/irs-treasury-tax-wealth-ira-2932f286c89b19b9ccecaaca2f4f2c2b,
39,gnabgib,28.0,41467522,"[41470066, 41471042, 41470617, 41469536, 41470006, 41469347, 41470443]",27,1725639798,Cough or sneeze? How the brain knows what to unleash,story,https://www.nature.com/articles/d41586-024-02858-9,
40,jakemanger,0.0,41470704,,3,1725669105,Show HN: Track whether cryptocurrencies are being used and for what,story,https://app.chainspy.net,"Hey HN, I&#x27;m Jake, and I created Chainspy, a website that aggregates and visualizes on-chain metrics across multiple blockchains like Bitcoin, Ethereum, and others. It&#x27;s designed to give you insights beyond just price data.
Why Chainspy?<p>- On-Chain Metrics: Track blockchain activity (e.g., transactions, active users) across multiple networks, all in one place.<p>- Advanced Charting: Visualize blockchain data with integrated TradingView charts. Ideal for comparing blockchain performance over time.<p>- Wealth Distribution: See how wealth is distributed across wallets and spot centralization trends.<p>- API Access (Coming Soon): Need blockchain data for your projects? We&#x27;re working on an API—let me know if you&#x27;re interested!<p>A Sneak Peek:<p>Wealth Distribution: How is wealth spread across wallets? <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KaPC.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KaPC.png</a> <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KdOv.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KdOv.png</a><p>Active Transactions: Which chains are seeing the most activity? <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KAvg.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KAvg.png</a><p>Active Users (addresses): How many people are using the network? <a href=""https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KHiI.png"" rel=""nofollow"">https:&#x2F;&#x2F;www.talkimg.com&#x2F;images&#x2F;2024&#x2F;09&#x2F;04&#x2F;9KHiI.png</a><p>I’m just starting out and would love feedback on features and data you&#x27;d like to see. If you have a favorite blockchain or metric you&#x27;d want tracked, let me know—I’ll try to add it. Let’s make blockchain data easier for everyone to access."
41,warrenm,34.0,41435444,"[41465052, 41466938, 41468573, 41468949, 41467861, 41470905, 41469867, 41466045, 41465039, 41468481]",200,1725374581,Your Name in Landsat,story,https://landsat.gsfc.nasa.gov/apps/YourNameInLandsat-main/index.html,
42,whiteros_e,15.0,41458512,"[41469955, 41469831, 41470487, 41468684, 41468668, 41469921, 41469100]",64,1725555784,Debugging a memory leak in a Clojure service,story,https://charanvasu.com/posts/debugging-a-memory-leak-in-a-clojure-service/,
43,doctorwhat,138.0,41466963,"[41467040, 41467046, 41469178, 41470478, 41467184, 41467035, 41468683, 41467333, 41467288, 41469156, 41470383, 41467135, 41467417, 41470453, 41467244]",217,1725635822,Nginx has moved to GitHub,story,https://mailman.nginx.org/pipermail/nginx-announce/2024/ITL3AOQSAJANFJXMM3VOVOIGOUADWFFK.html,
44,_Microft,123.0,41462574,"[41466586, 41464562, 41463298, 41465355, 41464322, 41463922, 41463402, 41467061, 41463279, 41468382, 41465250, 41470171, 41463841, 41470612, 41463967, 41466749, 41467050, 41464359, 41466169, 41463212, 41468464, 41469210, 41465557, 41465146, 41468960, 41463150, 41463406, 41463277]",354,1725592580,What happens when you touch a pickle to an AM radio tower,story,https://www.jeffgeerling.com/blog/2024/what-happens-when-you-touch-pickle-am-radio-tower,
45,belter,2.0,41443414,"[41467557, 41470264]",27,1725440280,Fibonacci Partial Sums Tricks,story,https://arxiv.org/abs/2409.01296,
46,luke8086,28.0,41445931,"[41466538, 41465927, 41466219, 41464301, 41463442, 41465486, 41467679, 41462684]",89,1725458286,Show HN: Retronews – TUI for HN and Lobsters emulating classical Usenet readers,story,https://github.com/luke8086/retronews,
47,dansalias,82.0,41453264,"[41468768, 41468815, 41469526, 41469235, 41468859, 41469424, 41468776, 41469371, 41469146, 41468941, 41468899, 41469308, 41469315, 41468727, 41469356, 41468865, 41468630, 41469051, 41469014, 41468617, 41469529, 41469205, 41468978, 41469717, 41470469, 41469657, 41469633, 41453265, 41469131]",98,1725507821,Better Dotfiles,story,https://iamdan.me/better-dotfiles,
48,Tomte,3.0,41466910,"[41470352, 41470902]",17,1725635420,Asciidoctor: A fast text processor and publishing toolchain,story,https://asciidoctor.org/,
49,nolta,10.0,41469714,"[41471354, 41470311, 41470249, 41470641, 41470815, 41470716, 41471101, 41470504]",30,1725656671,How Local Governments Got Hooked on One Company's Janky Software,story,https://www.bloomberg.com/news/features/2024-09-05/tyler-tech-s-odyssey-software-took-over-local-government-and-courts,
50,matt_d,4.0,41450948,"[41455009, 41452582, 41451402, 41451476]",47,1725484693,Snapshottable Stores,story,https://dl.acm.org/doi/10.1145/3674637,
51,ReadCarlBarks,11.0,41469541,"[41471018, 41470110, 41471507, 41469834]",25,1725655185,KDE Again Operated at a Loss During 2023,story,https://www.phoronix.com/news/KDE-2023-Report,
52,punnerud,5.0,41464585,"[41467254, 41466403, 41468721]",36,1725616713,RGCosm – Reverse Geocode for OpenStreetMap,story,https://github.com/punnerud/rgcosm,
53,vasco,26.0,41469370,"[41471875, 41470762, 41471357, 41471768, 41471559, 41470205, 41471454, 41471514, 41471245, 41470789]",28,1725653585,YouTube to restrict teenagers' exposure to videos about weight and fitness,story,https://www.theguardian.com/technology/article/2024/sep/05/youtube-to-restrict-teenagers-exposure-to-videos-about-weight-and-fitness,
54,surprisetalk,4.0,41438696,"[41471241, 41471359, 41438794, 41471288]",20,1725394213,"Kawaii: Anime, Propaganda, and Soft Power Politics. [video]",story,https://www.youtube.com/watch?v=IM2VIKfaY0Y,
55,todsacerdoti,95.0,41464334,"[41466797, 41465246, 41465322, 41465068, 41464849, 41470668, 41464817, 41467727, 41464589, 41465351, 41464964, 41468332, 41468422, 41465932, 41464637, 41464880]",159,1725613430,Intent to unship: HTTP/2 Push,story,https://groups.google.com/a/mozilla.org/g/dev-platform/c/vU9hJg343U8/m/4cZsHz7TAQAJ,
56,thunderbong,1.0,41465119,[41471381],18,1725622020,Kalmia: A documentation CMS written in Go. Open-source alternative to Gitbook,story,https://github.com/DifuseHQ/Kalmia,
57,tomgp,75.0,41464347,"[41464862, 41466691, 41465896, 41466873, 41464600, 41466711, 41465176, 41468075, 41466858, 41468304, 41466409, 41464664, 41466211]",152,1725613550,Study: Playing D&D helps autistic players in social interactions,story,https://arstechnica.com/science/2024/09/study-playing-dungeons-dragons-helps-autistic-players-in-social-interactions/,
58,lermontov,3.0,41449609,"[41468567, 41468875]",10,1725477819,The Race for Lambeth Palace,story,https://www.newstatesman.com/politics/religion/2024/09/race-lambeth-palace-archbishop-of-canterbury-justin-welby,
59,EwanToo,46.0,41470139,"[41471296, 41470686, 41470475, 41470982]",55,1725661332,Stranded astronauts' capsule heads home without them,story,https://www.bbc.co.uk/news/articles/cx29wzk4r19o,
60,fidotron,51.0,41461850,"[41466721, 41463564, 41468648, 41464929, 41462365, 41463131, 41462693, 41466166, 41461870, 41462140, 41467959, 41462316, 41462137, 41462353, 41462047, 41468446, 41466430, 41462388, 41463369]",170,1725584406,LwIP – Lightweight IP Stack,story,https://www.nongnu.org/lwip/2_1_x/index.html,
61,HieronymusBosch,2.0,41469221,"[41471784, 41471680]",29,1725652511,Changes to `impl Trait` in Rust 2024,story,https://blog.rust-lang.org/2024/09/05/impl-trait-capture-rules.html,
62,blackhawkC17,3.0,41469832,[41470959],23,1725657826,OnlyFans Owner Leo Radvinsky Pockets $472M Dividend,story,https://www.businessinsider.com/onlyfans-owner-made-472-million-profits-boomed-2024-9,
63,msolli,102.0,41460037,"[41462503, 41468097, 41462582, 41460910, 41461450, 41460987, 41461715, 41464580, 41464011, 41466417, 41460872, 41464656, 41467277, 41462733, 41466289, 41463169]",371,1725567172,Clojure 1.12.0 is now available,story,https://clojure.org/news/2024/09/05/clojure-1-12-0,
64,luu,15.0,41453713,"[41468832, 41455901, 41467901, 41453849, 41467744]",24,1725513221,Beaker Browser and the Dat Protocol,story,https://bernsteinbear.com/dat-paper/,
65,luu,28.0,41432101,"[41458205, 41456679, 41455094, 41457823, 41469986, 41467327, 41463466, 41456449, 41460862, 41455727, 41458295, 41458337, 41458573, 41455923, 41454917, 41456066]",159,1725347096,The Elements of APIs (2021),story,https://johnholdun.com/apis/,
66,tilyupo,82.0,41455719,"[41461438, 41457415, 41457379, 41456971, 41457323, 41456524, 41464439, 41456633, 41466759, 41456899, 41464572, 41456547, 41466925, 41467293, 41461620, 41457340, 41464178, 41456622, 41456735, 41456761, 41457215, 41457057, 41457320, 41459144, 41456607, 41456718, 41456573, 41456618, 41456572, 41456586, 41456808, 41456468]",112,1725537348,Show HN: Node.js ORM to query SQL database through an array-like API,story,https://github.com/tilyupo/qustar,"Hello everyone! I&#x27;m exited to share a NodeJS package I was working on for the past two months.<p>The package is designed to simplify querying SQL databases through an array-like API. Qustar supports PostgreSQL, SQLite, MySQL, and MariaDB, and offers TypeScript support for a robust development experience.<p>It&#x27;s in early stage of development. I would like to hear your thoughts about it."
67,rntn,33.0,41470164,"[41470439, 41470390, 41470320, 41470350, 41470343, 41470810, 41470412]",50,1725661563,Dell and Palantir to join S&P 500; shares of both jump,story,https://www.cnbc.com/2024/09/06/dell-and-palantir-to-join-sp-500-shares-of-both-jump.html,
68,spicywasabi,3.0,41469088,"[41471482, 41471203]",11,1725651526,IBM Pushing Apache2 License onto all qiskit repositories on GitHub,story,,"Noticed this the other day, several users who appear to work for IBM have been pushing the Apache2 license onto users who have used a specific library. It appears automated and some of these repos haven&#x27;t been worked on in years. Not sure what the end goal is for IBM to push this, but its very strange to see. It appears to be automated in some way because empty repos are even getting hit: https:&#x2F;&#x2F;github.com&#x2F;B00TK1D&#x2F;qiskit-playground&#x2F;issues&#x2F;1. You can see the full list here https:&#x2F;&#x2F;tinyurl.com&#x2F;3ba4b6j4 where many repos are happily applying Apache2. Since Apache2 is pretty permissive doesn&#x27;t this mean IBM can utilize these libraries as they see fit internally?"
69,rushingcreek,143.0,41458083,"[41459349, 41460342, 41460927, 41461959, 41459402, 41462706, 41459729, 41464171, 41459841, 41469640, 41459719, 41465126, 41459891, 41461152, 41460151, 41468242, 41460004, 41464202, 41459145, 41467055, 41460883, 41462652, 41464153, 41462904, 41459799, 41460403, 41460085, 41459661, 41460495, 41463336, 41459362, 41459428, 41460947, 41459673, 41464278, 41470763, 41460293, 41459272, 41462555, 41463141, 41465394, 41461240, 41459231]",346,1725553329,"Phind-405B and faster, high quality AI answers for everyone",story,https://www.phind.com/blog/introducing-phind-405b-and-better-faster-searches,
70,rbanffy,131.0,41450824,"[41453048, 41456041, 41453011, 41456558, 41454249, 41456805, 41454996, 41455714, 41456995, 41454987, 41455050, 41454264, 41456638, 41455130, 41457276, 41457121, 41457470, 41454189, 41458193, 41458558, 41456661, 41461539, 41453669, 41456593, 41460514, 41469721, 41455830, 41458975]",239,1725484025,Lesser known parts of Python standard library,story,https://www.trickster.dev/post/lesser-known-parts-of-python-standard-library/,
71,saikatsg,0.0,41468870,,3,1725649826,Apache SkyWalking – Application Performance Monitor tool for Distributed Systems,story,https://skywalking.apache.org/,
72,paulpauper,1.0,41471083,[41471785],4,1725675269,Thoughts while watching myself be automated,story,https://dynomight.substack.com/p/automated,
73,eh_why_not,6.0,41470112,"[41470402, 41470483, 41470595, 41470280, 41470242]",21,1725661002,PwC tells UK staff it will monitor office attendance using location data,story,https://www.ft.com/content/11ccedba-f120-4dd2-a98f-19e8b59d7764,
74,mawise,1.0,41467400,[41467474],6,1725639029,PikaPods – Instant Open Source App Hosting,story,https://www.pikapods.com/,
75,dr_,9.0,41470064,"[41471571, 41471604, 41471430, 41470327, 41470337, 41470654, 41470639, 41471476]",14,1725660466,Move over BMI .Welcome BRI,story,https://www.nytimes.com/2024/09/06/health/body-roundness-index-bmi.html,
76,klelatti,27.0,41432197,"[41459664, 41461984, 41462509, 41468143, 41465292, 41459906, 41458661, 41459111]",97,1725347966,"The Memory Wall: Past, Present, and Future of DRAM",story,https://www.semianalysis.com/p/the-memory-wall,
77,hn_acker,5.0,41470930,"[41471807, 41471260, 41471795]",33,1725672619,Judge Rejects yet Another Attempt by Texas to Police Online Speech,story,https://www.techdirt.com/2024/09/06/judge-rejects-yet-another-attempt-by-texas-to-police-online-speech/,
78,bookofjoe,0.0,41468491,,3,1725646676,Digital twins: secure design and development,story,https://www.ncsc.gov.uk/blog-post/digital-twins-secure-design-development,
79,samclemens,4.0,41453829,"[41469608, 41469278, 41468744]",12,1725514528,The Haunted Wood: A History of Childhood Reading,story,https://literaryreview.co.uk/oh-the-places-youll-go,
80,hatf0,2.0,41468455,"[41468456, 41468711]",17,1725646379,Making the Easy Things Easy with WireGuard,story,https://www.devzero.io/blog/making-the-easy-things-easy-with-wireguard,
81,LAGGOUNEWalid,5.0,41464913,"[41468423, 41468040]",12,1725620055,"Show HN: High-performance Location tracking server built with PHP, Swoole",story,https://github.com/LAGGOUNE-Walid/geopulse,
